iucn_sid,gear,count
16238,longline,0
16238,midtrawl,0
16238,poleline,0
16238,seine,0
16238,trap,0
16474,btmtrawl,11
16474,dredge,0
16474,gillnet,0
16474,longline,0
16474,midtrawl,0
16474,poleline,0
16474,seine,0
16474,trap,0
16475,btmtrawl,4
16475,dredge,3
16475,gillnet,0
16475,longline,0
16475,midtrawl,0
16475,poleline,0
16475,seine,3
16475,trap,0
16476,btmtrawl,4
16476,dredge,1
16476,gillnet,0
16476,longline,0
16476,midtrawl,0
16476,poleline,0
16476,seine,1
16476,trap,0
16564,btmtrawl,0
16564,dredge,0
16564,gillnet,3
16564,longline,3
16564,midtrawl,0
16564,poleline,0
16564,seine,1
16564,trap,0
17013,btmtrawl,1
17013,dredge,0
17013,gillnet,0
17013,longline,0
17013,midtrawl,1
17013,poleline,0
17013,seine,0
17013,trap,0
17014,btmtrawl,1
17014,dredge,0
17014,gillnet,0
17014,longline,0
17014,midtrawl,1
17014,poleline,0
